run_id,csv_file,etd_file,group,roi_area,heatingpads,title,used_in_analysis,note,blueprint,protocol_remark
,ETD_ClinTest_20260408_162112.csv,,,,,,false,,,
,ETD_ClinTest_20260408_162329.csv,,,,,,false,,,
,ETD_ClinTest_20260408_162542.csv,,,,,,false,,,
,ETD_ClinTest_20260408_164159.csv,,,,,,false,,,
,ETD_ClinTest_20260408_164252.csv,,,,,,false,,,
,ETD_ClinTest_20260408_164444.csv,,,,,,false,,,
,ETD_ClinTest_20260408_164532.csv,,,,,,false,,,
,ETD_ClinTest_20260408_165233.csv,,,,,,false,,,
,ETD_ClinTest_20260408_165433.csv,,,,,,false,,,
,ETD_ClinTest_20260408_165520.csv,,,,,,false,,,
,ETD_ClinTest_20260408_170108.csv,,,,,,false,,,
,ETD_ClinTest_20260408_170310.csv,,,,,,false,,,
,ETD_ClinTest_20260408_170447.csv,,,,,,false,,,
,ETD_ClinTest_20260408_171344.csv,,,,,,false,,,
,ETD_ClinTest_20260408_172007.csv,,,,,,false,,,
,ETD_ClinTest_20260408_172157.csv,,,,,,false,,,
,ETD_ClinTest_20260408_172305.csv,,,,,,false,,,
,ETD_ClinTest_20260408_174928.csv,,,,,,false,,,
,ETD_ClinTest_20260408_175113.csv,,,,,,false,,,
,ETD_ClinTest_20260408_181349.csv,,,,,,false,,,
,ETD_ClinTest_20260408_190153.csv,,,,,,false,,,
,ETD_ClinTest_20260408_191642.csv,,,,,,false,,,
