run_id,csv_file,etd_file,group,roi_area,heatingpads,title,used_in_analysis,note,blueprint,protocol_remark
9,ETsurface_easyQA_20260729_162730.csv,TrackingResult_2026-07-29_16-29-19.json,single angle,,OFF,"deflection 1, couch 0 deg",true,surf-etds-qa configuration entry 9.,ETsurface_easyQA.json,"Protocol measurement 1, 16:27-16:32: pads off; blueprint ETsurface_easyQA; ETDS dataset 162919; CSV 162730."
10,ETsurface_easyQA_20260729_162730.csv,TrackingResult_2026-07-29_16-31-52.json,single angle,,OFF,"deflection 2, couch 0 deg",true,surf-etds-qa configuration entry 10.,ETsurface_easyQA.json,"Protocol measurement 1, after new tracking: ETDS dataset 163152."
,,TrackingResult_2026-07-29_16-40-38.json,,,,,false,Not a QA configuration entry.,,"Protocol measurement 2: tracking during the temperature ramp, ETDS dataset 164038, marked as possibly unreliable."
11,ETsurface_easyQA_T32_20260729_164238.csv,TrackingResult_2026-07-29_16-46-53.json,single angle,,32,"deflection 1, couch 0 deg",true,surf-etds-qa configuration entry 11.,,"Protocol measurement 2, 16:42-16:52: pads heated to 32 degC; tracking quality good; 32 degC not stable in the phantom (see the temperature columns of the CSV); ETDS dataset 164653; CSV 164238. [The protocol names blueprint ETsurface_easyQA; the logging prefix of the CSV matches ETsurface_easyQA_T32.json.]"
12,ETsurface_easyQA_T32_20260729_164238.csv,TrackingResult_2026-07-29_16-50-05.json,single angle,,32,"deflection 2, couch 0 deg",true,surf-etds-qa configuration entry 12.,,"Protocol measurement 2, after new tracking: ETDS dataset 165005."
