run_id,csv_file,etd_file,group,roi_area,heatingpads,title,used_in_analysis,note,blueprint,protocol_remark
13,ETsurface_easyQA_20260806_163851.csv,TrackingResult_2026-08-06_16-43-56.json,single angle,,OFF,"deflection 1, couch 0 deg",true,surf-etds-qa configuration entry 13. Measurement protocol: ETsurface_easyQA_new_20260806_163703_log.json and ETsurface_easyQA_new_20260806_163703_log.txt.,ETsurface_easyQA_new.json,"Protocol measurement 1, 16:36-16:50: pads off; blueprint ETsurface_easyQA_new; tracking quality good; ETDS dataset 164356. [The protocol gives CSV 163703, the time stamp of the measurement protocol log; the CSV of this session is 163851.]"
14,ETsurface_easyQA_20260806_163851.csv,TrackingResult_2026-08-06_16-47-43.json,single angle,,OFF,"deflection 2, couch 0 deg",true,surf-etds-qa configuration entry 14. Measurement protocol: ETsurface_easyQA_new_20260806_163703_log.json and ETsurface_easyQA_new_20260806_163703_log.txt.,ETsurface_easyQA_new.json,"Protocol measurement 1, after new tracking (quality good): ETDS dataset 164743."
15,ETsurface_easyQA_20260806_165555.csv,TrackingResult_2026-08-06_17-00-15.json,single angle,,32,"deflection 1, couch 0 deg",true,surf-etds-qa configuration entry 15. Measurement protocol: ETsurface_easyQA_new_20260806_165521_log.json and ETsurface_easyQA_new_20260806_165521_log.txt.,ETsurface_easyQA_new.json,"Protocol measurement 2, 16:54-17:05: pads heated to 32 degC; tracking quality good; ETDS dataset 170015; CSV 165555."
16,ETsurface_easyQA_20260806_165555.csv,TrackingResult_2026-08-06_17-03-12.json,single angle,,32,"deflection 2, couch 0 deg",true,surf-etds-qa configuration entry 16. Measurement protocol: ETsurface_easyQA_new_20260806_165521_log.json and ETsurface_easyQA_new_20260806_165521_log.txt.,ETsurface_easyQA_new.json,"Protocol measurement 2, after new tracking (quality good): ETDS dataset 170312."
,,,,,,,false,Measurement protocol ETsurface_easyQA_new_20260806_162753_log.json and ETsurface_easyQA_new_20260806_162753_log.txt was aborted before a CSV was written (csv_file is null).,,
