run_id,csv_file,etd_file,group,roi_area,heatingpads,title,used_in_analysis,note,blueprint,protocol_remark
17,ETsurface_easyQA_20260806_173403.csv,TrackingResult_2026-08-06_17-36-10.json,single angle,,32,"deflection 1, couch 0 deg",true,surf-etds-qa configuration entry 17. Measurement protocol: ETsurface_easyQA_new_20260806_173350_log.json and ETsurface_easyQA_new_20260806_173350_log.txt.,ETsurface_easyQA_new.json,"Protocol measurement 1, 17:34-17:40: pads at 32 degC; the phantom was carried over still warm from linac 3, so the heated measurement came first; the pads did not heat as expected at first and the cable at the phantom was adjusted; tracking quality good; ETDS dataset 173610; CSV 173403."
18,ETsurface_easyQA_20260806_173403.csv,TrackingResult_2026-08-06_17-39-11.json,single angle,,32,"deflection 2, couch 0 deg",true,surf-etds-qa configuration entry 18. Measurement protocol: ETsurface_easyQA_new_20260806_173350_log.json and ETsurface_easyQA_new_20260806_173350_log.txt.,ETsurface_easyQA_new.json,"Protocol measurement 1, after new tracking (quality good): ETDS dataset 173911."
,,TrackingResult_2026-08-06_17-49-21.json,,,,,false,Not a QA configuration entry.,,Not listed in the protocol; recorded between measurements 1 (ended 17:40) and 2 (started 18:03).
19,ETsurface_easyQA_20260806_180321.csv,TrackingResult_2026-08-06_18-06-26.json,single angle,,OFF,"deflection 1, couch 0 deg",true,surf-etds-qa configuration entry 19. Measurement protocol: ETsurface_easyQA_new_20260806_180257_log.json and ETsurface_easyQA_new_20260806_180257_log.txt.,ETsurface_easyQA_new.json,"Protocol measurement 2, 18:03-18:10: pads at room temperature, fan set up; tracking quality good; ETDS dataset 180626; CSV 180321."
20,ETsurface_easyQA_20260806_180321.csv,TrackingResult_2026-08-06_18-09-34.json,single angle,,OFF,"deflection 2, couch 0 deg",true,surf-etds-qa configuration entry 20. Measurement protocol: ETsurface_easyQA_new_20260806_180257_log.json and ETsurface_easyQA_new_20260806_180257_log.txt.,ETsurface_easyQA_new.json,"Protocol measurement 2, after new tracking (quality good): ETDS dataset 180934."
,,,,,,,false,Measurement protocol ETsurface_easyQA_new_20260806_172422_log.json and ETsurface_easyQA_new_20260806_172422_log.txt was aborted before a CSV was written (csv_file is null).,,
